date,transaction_count,total_revenue,total_quantity,company,dayofweek,month,year,is_weekend
2024-05-24,225,1944.1200000000001,587.0,cpl,4,5,2024,0
2024-05-25,255,2432.88,711.0,cpl,5,5,2024,1
2024-05-26,161,1596.38,475.0,cpl,6,5,2024,1
2024-05-27,182,1584.22,487.0,cpl,0,5,2024,0
2024-05-28,142,1168.74,347.0,cpl,1,5,2024,0
2024-05-29,160,1311.52,376.0,cpl,2,5,2024,0
2024-05-30,169,1478.76,439.0,cpl,3,5,2024,0
2024-06-01,249,2498.11,719.0,cpl,5,6,2024,1
2024-06-02,184,1795.56,530.0,cpl,6,6,2024,1
2024-06-03,159,1356.3,414.0,cpl,0,6,2024,0
2024-06-04,156,1412.99,416.0,cpl,1,6,2024,0
2024-06-05,170,1539.63,455.0,cpl,2,6,2024,0
2024-06-06,293,2414.72,710.0,cpl,3,6,2024,0
2024-06-07,411,3350.8,970.0,cpl,4,6,2024,0
2024-06-08,403,3984.25,1148.0,cpl,5,6,2024,1
2024-06-09,288,2972.98,881.0,cpl,6,6,2024,1
2024-06-10,318,2764.07,824.0,cpl,0,6,2024,0
2024-06-11,303,2933.84,845.0,cpl,1,6,2024,0
2024-06-12,291,2895.42,857.0,cpl,2,6,2024,0
2024-06-13,310,2542.96,748.0,cpl,3,6,2024,0
2024-06-14,375,3301.83,958.0,cpl,4,6,2024,0
2024-06-15,400,4021.86,1162.0,cpl,5,6,2024,1
2024-06-16,289,3352.23,993.0,cpl,6,6,2024,1
2024-06-17,287,2575.71,763.0,cpl,0,6,2024,0
2024-06-18,325,2862.11,832.0,cpl,1,6,2024,0
2024-06-19,281,2611.42,748.0,cpl,2,6,2024,0
2024-06-20,280,2524.02,744.0,cpl,3,6,2024,0
2024-06-21,352,3141.78,931.0,cpl,4,6,2024,0
2024-06-22,407,4028.0099999999998,1177.0,cpl,5,6,2024,1
2024-06-23,291,3057.33,920.0,cpl,6,6,2024,1
2024-06-24,325,2760.76,808.0,cpl,0,6,2024,0
2024-06-25,326,3414.71,1015.0,cpl,1,6,2024,0
2024-06-26,315,3330.28,994.0,cpl,2,6,2024,0
2024-06-27,350,3541.99,1050.0,cpl,3,6,2024,0
2024-06-28,443,3941.4900000000002,1183.0,cpl,4,6,2024,0
2024-06-29,454,4456.86,1353.0,cpl,5,6,2024,1
2024-06-30,320,3528.96,1076.0,cpl,6,6,2024,1
2024-07-01,301,3218.66,954.0,cpl,0,7,2024,0
2024-07-02,385,3250.98,977.0,cpl,1,7,2024,0
2024-07-03,349,3187.56,930.0,cpl,2,7,2024,0
2024-07-04,437,3669.82,1080.0,cpl,3,7,2024,0
2024-07-05,447,4209.0,1245.0,cpl,4,7,2024,0
2024-07-06,527,5028.62,1484.0,cpl,5,7,2024,1
2024-07-07,332,3632.99,1088.0,cpl,6,7,2024,1
2024-07-08,399,3473.26,1031.0,cpl,0,7,2024,0
2024-07-09,352,3411.85,1022.0,cpl,1,7,2024,0
2024-07-10,351,3085.67,924.0,cpl,2,7,2024,0
2024-07-11,388,3227.58,958.0,cpl,3,7,2024,0
2024-07-12,435,3728.69,1125.0,cpl,4,7,2024,0
2024-07-13,509,4457.9800000000005,1314.0,cpl,5,7,2024,1
2024-07-14,303,3466.48,1043.0,cpl,6,7,2024,1
2024-07-15,325,2861.69,879.0,cpl,0,7,2024,0
2024-07-16,331,2900.09,881.0,cpl,1,7,2024,0
2024-07-17,304,2349.81,703.0,cpl,2,7,2024,0
2024-07-18,375,2772.73,837.0,cpl,3,7,2024,0
2024-07-19,377,3439.61,1052.0,cpl,4,7,2024,0
2024-07-20,472,4255.92,1272.0,cpl,5,7,2024,1
2024-07-21,304,3148.55,944.0,cpl,6,7,2024,1
2024-07-22,306,2583.73,807.0,cpl,0,7,2024,0
2024-07-23,350,2640.13,801.0,cpl,1,7,2024,0
2024-07-24,310,2656.52,796.0,cpl,2,7,2024,0
2024-07-25,336,3040.25,891.0,cpl,3,7,2024,0
2024-07-26,423,3503.89,1054.0,cpl,4,7,2024,0
2024-07-27,386,3855.14,1142.0,cpl,5,7,2024,1
2024-07-28,249,2833.27,856.0,cpl,6,7,2024,1
2024-07-29,305,2793.63,841.0,cpl,0,7,2024,0
2024-07-30,289,2562.42,760.0,cpl,1,7,2024,0
2024-07-31,269,2504.5,732.0,cpl,2,7,2024,0
2024-08-01,328,2781.43,828.0,cpl,3,8,2024,0
2024-08-02,319,2813.0099999999998,842.0,cpl,4,8,2024,0
2024-08-03,422,3924.27,1159.0,cpl,5,8,2024,1
2024-08-04,258,2799.84,827.0,cpl,6,8,2024,1
2024-08-05,314,2608.53,805.0,cpl,0,8,2024,0
2024-08-06,296,2595.6,794.0,cpl,1,8,2024,0
2024-08-07,287,2607.4900000000002,784.0,cpl,2,8,2024,0
2024-08-08,331,2782.83,828.0,cpl,3,8,2024,0
2024-08-09,354,3065.07,900.0,cpl,4,8,2024,0
2024-08-10,375,3702.74,1119.0,cpl,5,8,2024,1
2024-08-11,233,2538.2,782.0,cpl,6,8,2024,1
2024-08-12,284,2487.98,762.0,cpl,0,8,2024,0
2024-08-13,302,2617.54,791.0,cpl,1,8,2024,0
2024-08-14,292,2646.2400000000002,774.0,cpl,2,8,2024,0
2024-08-15,327,2890.59,883.0,cpl,3,8,2024,0
2024-08-16,379,3157.35,961.0,cpl,4,8,2024,0
2024-08-17,392,3780.26,1129.0,cpl,5,8,2024,1
2024-08-18,215,2320.65,702.0,cpl,6,8,2024,1
2024-08-19,321,2775.1,851.0,cpl,0,8,2024,0
2024-08-20,334,2800.25,861.0,cpl,1,8,2024,0
2024-08-21,319,2756.19,841.0,cpl,2,8,2024,0
2024-08-22,344,2922.8,885.0,cpl,3,8,2024,0
2024-08-23,348,3109.64,955.0,cpl,4,8,2024,0
2024-08-24,424,3984.42,1216.0,cpl,5,8,2024,1
2024-08-25,303,3054.29,907.0,cpl,6,8,2024,1
2024-08-26,243,2449.83,755.0,cpl,0,8,2024,0
2024-08-27,359,2746.75,839.0,cpl,1,8,2024,0
2024-08-28,300,2445.77,755.0,cpl,2,8,2024,0
2024-08-29,339,2721.54,816.0,cpl,3,8,2024,0
2024-08-30,352,3163.52,960.0,cpl,4,8,2024,0
2024-08-31,430,3778.51,1130.0,cpl,5,8,2024,1
2024-09-01,270,2725.08,811.0,cpl,6,9,2024,1
2024-09-02,317,2706.48,846.0,cpl,0,9,2024,0
2024-09-03,311,2859.56,878.0,cpl,1,9,2024,0
2024-09-04,294,2733.03,839.0,cpl,2,9,2024,0
2024-09-05,338,2823.8,868.0,cpl,3,9,2024,0
2024-09-06,369,3263.79,1003.0,cpl,4,9,2024,0
2024-09-07,394,3676.42,1101.0,cpl,5,9,2024,1
2024-09-08,209,2334.63,687.0,cpl,6,9,2024,1
2024-09-09,329,2707.06,825.0,cpl,0,9,2024,0
2024-09-10,289,2562.51,772.0,cpl,1,9,2024,0
2024-09-11,257,2373.63,756.0,cpl,2,9,2024,0
2024-09-12,349,2791.0,846.0,cpl,3,9,2024,0
2024-09-13,383,3297.19,982.0,cpl,4,9,2024,0
2024-09-14,395,3629.11,1090.0,cpl,5,9,2024,1
2024-09-15,212,2174.12,640.0,cpl,6,9,2024,1
2024-09-16,307,2578.38,788.0,cpl,0,9,2024,0
2024-09-17,260,2124.76,643.0,cpl,1,9,2024,0
2024-09-18,277,2541.41,782.0,cpl,2,9,2024,0
2024-09-19,362,2701.87,816.0,cpl,3,9,2024,0
2024-09-20,361,3093.78,948.0,cpl,4,9,2024,0
2024-09-21,386,3764.09,1121.0,cpl,5,9,2024,1
2024-09-22,217,2311.03,671.0,cpl,6,9,2024,1
2024-09-23,225,2045.98,615.0,cpl,0,9,2024,0
2024-09-24,277,2298.95,683.0,cpl,1,9,2024,0
2024-09-25,307,2342.49,704.0,cpl,2,9,2024,0
2024-09-26,333,2599.05,783.0,cpl,3,9,2024,0
2024-09-27,355,3060.27,880.0,cpl,4,9,2024,0
2024-09-28,430,3826.36,1095.0,cpl,5,9,2024,1
2024-09-29,298,2969.45,853.0,cpl,6,9,2024,1
2024-09-30,295,2648.08,756.0,cpl,0,9,2024,0
2024-10-01,291,2532.25,728.0,cpl,1,10,2024,0
2024-10-02,306,2586.79,755.0,cpl,2,10,2024,0
2024-10-03,374,3093.61,895.0,cpl,3,10,2024,0
2024-10-04,376,3305.34,966.0,cpl,4,10,2024,0
2024-10-05,459,4014.31,1178.0,cpl,5,10,2024,1
2024-10-06,263,2419.4,704.0,cpl,6,10,2024,1
2024-10-07,310,2523.25,727.0,cpl,0,10,2024,0
2024-10-08,265,2190.56,631.0,cpl,1,10,2024,0
2024-10-09,292,2499.68,729.0,cpl,2,10,2024,0
2024-10-10,340,2708.73,774.0,cpl,3,10,2024,0
2024-10-11,378,3265.87,942.0,cpl,4,10,2024,0
2024-10-12,433,3859.55,1116.0,cpl,5,10,2024,1
2024-10-13,271,2575.17,729.0,cpl,6,10,2024,1
2024-10-14,324,2507.79,722.0,cpl,0,10,2024,0
2024-10-15,259,2099.86,586.0,cpl,1,10,2024,0
2024-10-16,263,2767.94,775.0,cpl,2,10,2024,0
2024-10-17,344,2930.81,847.0,cpl,3,10,2024,0
2024-10-18,389,3496.18,1017.0,cpl,4,10,2024,0
2024-10-19,423,4102.93,1194.0,cpl,5,10,2024,1
2024-10-20,251,2519.53,744.0,cpl,6,10,2024,1
2024-10-21,318,2792.89,793.0,cpl,0,10,2024,0
2024-10-22,295,2569.72,743.0,cpl,1,10,2024,0
2024-10-23,298,2522.36,756.0,cpl,2,10,2024,0
2024-10-24,307,2515.5,725.0,cpl,3,10,2024,0
2024-10-25,359,3285.54,972.0,cpl,4,10,2024,0
2024-10-26,451,4400.29,1261.0,cpl,5,10,2024,1
2024-10-27,276,2858.04,804.0,cpl,6,10,2024,1
2024-10-28,344,3034.98,881.0,cpl,0,10,2024,0
2024-10-29,343,2779.6,790.0,cpl,1,10,2024,0
2024-10-30,322,2752.85,816.0,cpl,2,10,2024,0
2024-10-31,403,3152.45,921.0,cpl,3,10,2024,0
2024-11-01,331,3079.79,873.0,cpl,4,11,2024,0
2024-11-02,418,4229.38,1206.0,cpl,5,11,2024,1
2024-11-03,227,2688.86,762.0,cpl,6,11,2024,1
2024-11-04,312,2825.89,810.0,cpl,0,11,2024,0
2024-11-05,296,2705.7599999999998,781.0,cpl,1,11,2024,0
2024-11-06,290,2824.87,811.0,cpl,2,11,2024,0
2024-11-07,301,2789.84,816.0,cpl,3,11,2024,0
2024-11-08,358,3365.74,983.0,cpl,4,11,2024,0
2024-11-09,443,4217.97,1238.0,cpl,5,11,2024,1
2024-11-10,239,2627.36,766.0,cpl,6,11,2024,1
2024-11-11,295,2668.39,775.0,cpl,0,11,2024,0
2024-11-12,327,2877.62,839.0,cpl,1,11,2024,0
2024-11-13,288,2600.41,737.0,cpl,2,11,2024,0
2024-11-14,280,2601.2,741.0,cpl,3,11,2024,0
2024-11-15,358,3501.01,1016.0,cpl,4,11,2024,0
2024-11-16,430,4275.2,1241.0,cpl,5,11,2024,1
2024-11-17,258,2589.37,741.0,cpl,6,11,2024,1
2024-11-18,352,2775.21,798.0,cpl,0,11,2024,0
2024-11-19,260,2437.7,712.0,cpl,1,11,2024,0
2024-11-20,301,2672.21,781.0,cpl,2,11,2024,0
2024-11-21,339,2841.07,827.0,cpl,3,11,2024,0
2024-11-22,308,3199.76,931.0,cpl,4,11,2024,0
2024-11-23,356,3841.81,1110.0,cpl,5,11,2024,1
2024-11-24,241,2574.45,742.0,cpl,6,11,2024,1
2024-11-25,311,2676.84,807.0,cpl,0,11,2024,0
2024-11-26,307,2582.71,769.0,cpl,1,11,2024,0
2024-11-27,281,2560.37,760.0,cpl,2,11,2024,0
2024-11-28,357,2890.02,843.0,cpl,3,11,2024,0
2024-11-29,400,3170.7599999999998,909.0,cpl,4,11,2024,0
2024-11-30,432,3907.8,1113.0,cpl,5,11,2024,1
2024-12-01,222,2318.53,656.0,cpl,6,12,2024,1
2024-12-02,299,2474.1,709.0,cpl,0,12,2024,0
2024-12-03,322,2595.1,746.0,cpl,1,12,2024,0
2024-12-04,312,2733.44,767.0,cpl,2,12,2024,0
2024-12-05,294,2538.23,692.0,cpl,3,12,2024,0
2024-12-06,379,3360.57,942.0,cpl,4,12,2024,0
2024-12-07,403,4053.5,1104.0,cpl,5,12,2024,1
2024-12-08,185,1899.02,514.0,cpl,6,12,2024,1
2024-12-09,334,2795.25,784.0,cpl,0,12,2024,0
2024-12-10,301,2546.41,704.0,cpl,1,12,2024,0
2024-12-11,273,2564.44,711.0,cpl,2,12,2024,0
2024-12-12,309,2995.45,804.0,cpl,3,12,2024,0
2024-12-13,294,2925.93,806.0,cpl,4,12,2024,0
2024-12-14,403,4194.47,1145.0,cpl,5,12,2024,1
2024-12-15,225,2343.02,659.0,cpl,6,12,2024,1
2024-12-16,321,2709.84,761.0,cpl,0,12,2024,0
2024-12-17,307,2648.82,743.0,cpl,1,12,2024,0
2024-12-18,286,2501.32,690.0,cpl,2,12,2024,0
2024-12-19,336,2974.76,805.0,cpl,3,12,2024,0
2024-12-20,369,3418.45,911.0,cpl,4,12,2024,0
2024-12-21,415,4279.55,1176.0,cpl,5,12,2024,1
2024-12-22,231,2706.02,742.0,cpl,6,12,2024,1
2024-12-23,403,3601.74,963.0,cpl,0,12,2024,0
2024-12-24,330,3552.67,971.0,cpl,1,12,2024,0
2024-12-28,313,3208.35,889.0,cpl,5,12,2024,1
2024-12-29,201,2259.21,651.0,cpl,6,12,2024,1
2024-12-30,278,2383.96,673.0,cpl,0,12,2024,0
2024-12-31,257,2360.61,666.0,cpl,1,12,2024,0
2025-01-02,291,2490.18,686.0,cpl,3,1,2025,0
2025-01-03,329,2835.81,797.0,cpl,4,1,2025,0
2025-01-04,395,3433.43,947.0,cpl,5,1,2025,1
2025-01-05,198,2104.24,597.0,cpl,6,1,2025,1
2025-01-06,159,1480.3700000000001,409.0,cpl,0,1,2025,0
2025-01-07,245,2168.43,625.0,cpl,1,1,2025,0
2025-01-08,191,1712.76,460.0,cpl,2,1,2025,0
2025-01-09,284,2503.16,700.0,cpl,3,1,2025,0
2025-01-10,292,2797.79,788.0,cpl,4,1,2025,0
2025-01-11,351,3445.63,962.0,cpl,5,1,2025,1
2025-01-12,218,2330.87,648.0,cpl,6,1,2025,1
2025-01-13,280,2459.7599999999998,686.0,cpl,0,1,2025,0
2025-01-14,263,2470.44,702.0,cpl,1,1,2025,0
2025-01-15,265,2076.68,586.0,cpl,2,1,2025,0
2025-01-16,320,2599.49,733.0,cpl,3,1,2025,0
2025-01-17,349,2882.14,801.0,cpl,4,1,2025,0
2025-01-18,406,3683.55,1020.0,cpl,5,1,2025,1
2025-01-19,232,2289.55,628.0,cpl,6,1,2025,1
2025-01-20,283,2246.29,639.0,cpl,0,1,2025,0
2025-01-21,266,2226.92,632.0,cpl,1,1,2025,0
2025-01-22,256,2284.27,644.0,cpl,2,1,2025,0
2025-01-23,298,2540.2,712.0,cpl,3,1,2025,0
2025-01-24,300,2991.15,845.0,cpl,4,1,2025,0
2025-01-25,376,3534.02,987.0,cpl,5,1,2025,1
2025-01-26,228,2347.89,648.0,cpl,6,1,2025,1
2025-01-27,303,2395.38,676.0,cpl,0,1,2025,0
2025-01-28,288,2429.48,681.0,cpl,1,1,2025,0
2025-01-29,302,2437.67,688.0,cpl,2,1,2025,0
2025-01-30,351,2790.17,791.0,cpl,3,1,2025,0
2025-01-31,354,2869.71,810.0,cpl,4,1,2025,0
2025-02-01,409,3872.35,1063.0,cpl,5,2,2025,1
2025-02-02,248,2557.56,708.0,cpl,6,2,2025,1
2025-02-03,314,2427.07,697.0,cpl,0,2,2025,0
2025-02-04,304,2319.77,668.0,cpl,1,2,2025,0
2025-02-05,272,2312.0,645.0,cpl,2,2,2025,0
2025-02-06,323,2631.8,740.0,cpl,3,2,2025,0
2025-02-07,345,3043.57,836.0,cpl,4,2,2025,0
2025-02-08,396,3977.81,1071.0,cpl,5,2,2025,1
2025-02-09,255,2697.35,725.0,cpl,6,2,2025,1
2025-02-10,318,2656.41,743.0,cpl,0,2,2025,0
2025-02-11,279,2497.78,684.0,cpl,1,2,2025,0
2025-02-12,288,2605.03,714.0,cpl,2,2,2025,0
2025-02-13,313,2860.51,788.0,cpl,3,2,2025,0
2025-02-14,398,3512.99,955.0,cpl,4,2,2025,0
2025-02-15,443,4187.21,1147.0,cpl,5,2,2025,1
2025-02-16,238,2739.07,734.0,cpl,6,2,2025,1
2025-02-17,313,2533.95,716.0,cpl,0,2,2025,0
2025-02-18,313,2366.0,669.0,cpl,1,2,2025,0
2025-02-19,299,2696.67,691.0,cpl,2,2,2025,0
2025-02-20,335,2958.98,795.0,cpl,3,2,2025,0
2025-02-21,350,3325.06,910.0,cpl,4,2,2025,0
2025-02-22,425,4237.41,1152.0,cpl,5,2,2025,1
